id,source_id,name,type_name,secteur_chefferie_commune_id
433,453,MWENI  MBANGU,G,42
434,454,MWENI  NGUNGU,G,42
435,455,SHIMUNA,G,42
436,456,YONGO II,G,42
437,457,BAKWA  MEYA,G,43
438,458,BASAMBA,G,43
439,459,KABAMBAY,G,43
440,460,KIBANDA,G,43
441,461,KIEHU,G,43
442,462,KIFUZA,G,43
443,463,KOMBANA,G,43
444,464,KUDI,G,43
445,465,MBONDO,G,43
446,466,NDJINGA,G,43
447,467,NGUNDA,G,43
448,468,BONDO,G,44
449,469,BUSHI,G,44
450,470,KAZAMBA,G,44
451,471,KINDELA,G,44
452,472,MBANGI,G,44
453,473,MULAZA,G,44
454,474,MUSOTO,G,44
455,475,NDALA-PEMBE,G,44
456,476,OLUME,G,44
457,477,YONGO,G,44
458,478,BANGA  KILEMBE,G,45
459,479,BESI  BULENGE,G,45
460,480,BESI MAKOLA,G,45
461,481,BUSHI,G,45
462,482,KATAMBA,G,45
463,483,KINGA  MUMBANZA,G,45
464,484,KIPITA,G,45
465,485,LANDA,G,45
466,486,MADIMBI,G,45
467,487,MBANDJI,G,45
468,488,MIDIWA,G,45
469,489,NDUMBI,G,45
470,490,NGUDI,G,45
471,491,NYANGA,G,45
472,492,PINDA,G,45
473,493,UBOLE,G,45
474,494,KIBONGO,G,46
475,495,KINGUDI,G,46
476,496,KISUNZU,G,46
477,497,MBAMBA,G,46
478,498,MUDIMAKATSHI,G,46
479,499,MUDINIATI,G,46
480,500,MUKINDA,G,46
481,501,MWILU -MWILU,G,46
482,502,HAGO,G,47
483,503,KABULA,G,47
484,504,KAHUNIA  NGANDU,G,47
485,505,KIAMA  MAKINDA,G,47
486,506,KISONGO  NZILA,G,47
487,507,MUTOMBO  NZINGA,G,47
488,508,NAMABANZA,G,47
489,509,NDONGELA,G,47
490,510,NGALA  KITENDE,G,47
491,511,KAHUNGU,G,48
492,512,KATEMBO,G,48
493,514,KATENGA KIOSWA,G,48
494,515,KAWAYA,G,48
495,516,KEZA  GISAMBA,G,48
496,517,KILUNDU,G,48
497,518,KINZASHI  BAMA,G,48
